254,0,-5.2,37,2.2,-17.6,0,0,0
204,1,-5.5,38,0.8,-17.6,0,0,0
173,2,-6,39,1,-17.7,0,0,0
107,3,-6.2,40,0.9,-17.6,0,0,0
78,4,-6,36,2.3,-18.6,0,0,0
100,5,-6.4,37,1.5,-18.7,0,0,0
181,6,-6.6,35,1.3,-19.5,0,0,0
460,7,-7.4,38,0.9,-19.3,0,0,0
930,8,-7.6,37,1.1,-19.8,0.01,0,0
490,9,-6.5,27,0.5,-22.4,0.23,0,0
339,10,-3.5,24,1.2,-21.2,0.65,0,0
360,11,-0.5,21,1.3,-20.2,0.94,0,0
449,12,1.7,23,1.4,-17.2,1.11,0,0
451,13,2.4,25,1.6,-15.6,1.16,0,0
447,14,3,26,2,-14.6,1.01,0,0
463,15,2.1,36,3.2,-11.4,0.54,0,0
484,16,1.2,54,4.2,-7,0.24,0,0
555,17,0.8,58,1.6,-6.5,0.08,0,0
862,18,0.6,66,1.4,-5,0,0,0
600,19,0,77,1.7,-3.5,0,0,0
426,20,-0.3,79,1.5,-3.5,0,0,0
405,21,-0.8,81,0.8,-3.6,0,0,0
398,22,-0.9,83,1.5,-3.4,0,0,0
323,23,-1.3,84,1,-3.6,0,0,0
328,0,-1.8,87,1.1,-3.6,0,0,0
308,1,-2.2,86,0.6,-4.2,0,0,0
262,2,-2.9,86,1.5,-4.9,0,0,0
167,3,-3.5,81,2.2,-6.2,0,0,0
89,4,-3.8,79,2,-6.9,0,0,0
79,5,-4,79,1.5,-7.1,0,0,0
70,6,-4.3,82,2.1,-6.9,0,0,0
146,7,-4.4,81,2.5,-7.1,0,0,0
219,8,-4.2,79,2.1,-7.3,0.01,0,0
328,9,-2.9,68,1.6,-7.9,0.3,0,0
334,10,-0.4,57,1.6,-7.8,0.8,0,0
388,11,1.9,49,1.8,-7.7,1,0,0
479,12,4.3,41,1.3,-7.8,1.09,0,0
606,13,6,36,1.8,-7.9,1.12,0,0
611,14,7.3,35,1.3,-7.1,0.99,0,0
589,15,7.6,41,2.3,-4.8,0.74,0,0
618,16,6.4,48,2.6,-3.8,0.22,0,0
572,17,6,51,2.5,-3.3,0.06,0,0
489,18,5.5,53,1.5,-3.3,0,0,0
385,19,5,52,2.3,-4,0,0,0
359,20,4.6,51,1.2,-4.6,0,0,0
377,21,4.1,55,1.2,-4.1,0,0,0
354,22,3.5,54,1.5,-4.9,0,0,0
366,23,4,56,1,-4,0,0,0
342,0,4,58,1.4,-3.5,0,0,0
227,1,3.9,69,1.7,-1.2,0,0,0
228,2,3.3,79,1.4,0,0,0,0
117,3,3.4,71,1.6,-1.3,0,0.5,0
76,4,3.5,73,1,-0.8,0,0,0
32,5,3.9,75,1.9,-0.1,0,0,0
13,6,3.4,86,2.5,1.2,0,1,0
22,7,3.1,91,1.2,1.7,0,0,0
85,8,3.2,92,1.8,2,0,0,0
152,9,3.5,91,1.8,2.1,0.02,2.5,0
200,10,4.4,89,2.2,2.7,0.24,0,0
273,11,5.1,87,1.4,3.1,0.25,0,0
333,12,5.8,85,1.7,3.4,0.43,0,0
495,13,6.8,81,1.9,3.7,0.6,0,0
563,14,7.6,76,1.2,3.6,0.69,0,0
621,15,8,73,1.6,3.4,0.53,0,0
598,16,7.6,77,1.6,3.8,0.2,0,0
545,17,6.7,82,1.5,3.8,0.05,0,0
443,18,6,84,1.9,3.4,0,0,0
422,19,5.7,85,1.7,3.3,0,0,0
397,20,5.2,87,1.4,3.2,0,0,0
385,21,4.7,87,1.2,2.7,0,0,0
350,22,4.3,89,1.8,2.6,0,0,0
303,23,3.9,90,1.3,2.4,0,0,0
285,0,4.2,88,0.6,2.3,0,0,0
186,1,4.3,87,0.5,2.3,0,0,0
112,2,4.4,87,1.8,2.4,0,0,0
65,3,3.6,85,2.3,1.3,0,0,0
41,4,2.8,89,1.5,1.1,0,0,0
82,5,2,83,2.7,-0.5,0,0,0
200,6,1.2,76,3.7,-2.5,0,0.1,0
498,7,0.2,68,3.4,-5,0,0,0
937,8,-0.8,69,3.5,-5.7,0.01,0,0
509,9,-1.5,47,4.2,-11.3,0.22,0,0
311,10,-1.1,40,4.5,-13,0.64,0,0
379,11,-0.5,41,4.1,-12.1,0.94,0,0
393,12,-0.3,38,4.8,-12.9,1.11,0,0
391,13,0,30,5.4,-15.5,1.17,0,0
338,14,0.1,27,4.5,-16.7,1.09,0,0
341,15,-0.1,25,5.8,-17.8,0.88,0,0
375,16,-0.2,23,4.7,-18.8,0.55,0,0
515,17,-1.3,26,5.3,-18.3,0.18,0,0
807,18,-2.1,29,3.9,-17.7,0,0,0
568,19,-2.9,32,3.2,-17.3,0,0,0
398,20,-3.6,38,3,-15.8,0,0,0
397,21,-4.6,43,4.5,-15.3,0,0,0
353,22,-5.3,45,2.5,-15.3,0,0,0
248,23,-5.8,44,2.4,-16.1,0,0,0
216,0,-6.1,42,2.6,-16.9,0,0,0
198,1,-6.5,41,2.8,-17.6,0,0,0
124,2,-6.8,41,2.5,-17.8,0,0,0
62,3,-6.9,39,2,-18.5,0,0,0
42,4,-7.2,34,3,-20.4,0,0,0
82,5,-7.4,33,2.6,-20.9,0,0,0
172,6,-7.4,34,3.2,-20.6,0,0,0
381,7,-7.5,33,2.2,-21,0,0,0
812,8,-8.1,36,1.6,-20.5,0.01,0,0
462,9,-7.6,31,1.3,-21.8,0.21,0,0
269,10,-5.5,26,2.8,-22,0.64,0,0
334,11,-3.9,25,0,-21,0,0,0
321,12,-2.3,25,0,-19.7,0,0,0
325,13,-1.6,27,0,-18.2,0,0,0
334,14,-1.1,28,0,-17.3,0,0,0
353,15,-0.7,28,0,-16.9,0,0,0
435,16,-0.5,30,0,-16,0,0,0
529,17,-1.6,35,0,-15.1,0,0,0
789,18,-2.6,40,0,-14.4,0,0,0
597,19,-3.2,45,0,-13.5,0,0,0
418,20,-3.5,46,0,-13.4,0,0,0
415,21,-3.7,47,0,-13.3,0,0,0
